type_dossier,cumul_crd_immo,nbr_credit_immo,cumul_crd_conso,nbr_credit_conso,nbr_enfants,emprunteur_salaire,coemprunteur_salaire,emprunteur.situation_familiale.libelle,emprunteur.intitule,emprunteur.allocation_familiale,emprunteur.anciennete,emprunteur.dette_divers.retard_loyer,emprunteur.dette_divers.retard_impot,emprunteur.dette_divers.decouvert,emprunteur.charge.loyer,emprunteur.charge.charge_courante,emprunteur.complement.tresorerie,emprunteur.complement_banque.huissier,emprunteur.nombre_rejets,emprunteur.estimation_retraite,coemprunteur.situation_familiale.libelle,coemprunteur.intitule,coemprunteur.allocation_familiale,coemprunteur.anciennete,coemprunteur.nombre_rejets,coemprunteur.estimation_retraite,est_encaisse,emprunteur_subventions,coemprunteur_subventions,type_contrat_menage,CategorieDPT,age_cat,co_age_cat
proprietaire,0.0,0.0,68367.6,4.0,0,1900.0,0.0,Veuf/Veuve,Madame,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5000.0,False,0,113.09523809523809,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,RETRAITE,2,70+,10
proprietaire,350000.0,1.0,20000.0,1.0,0,4500.0,0.0,Marié(e),Monsieur,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,53.57142857142857,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,35-40,10
proprietaire,0.0,0.0,22500.0,1.0,2,0.0,0.0,Célibataire,Monsieur,0.0,1.0,0.0,0.0,0.0,1000.0,0.0,15000.0,False,0,0.0,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,4,45-50,10
proprietaire,80000.0,1.0,9000.0,2.0,2,2302.0,0.0,Célibataire,Madame,0.0,1.0,0.0,0.0,500.0,1.0,0.0,30000.0,False,0,27.4047619047619,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,40-45,10
locataire,0.0,0.0,50900.0,5.0,0,1481.0,0.0,Célibataire,Monsieur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10000.0,False,0,0.0,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,INCONNU,0,30-35,10
proprietaire,25000.0,1.0,15000.0,3.0,0,3500.0,0.0,Célibataire,Monsieur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,False,0,0.0,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,INCONNU,0,70+,10
locataire,0.0,0.0,18000.0,2.0,3,3500.0,0.0,Marié(e),Monsieur,0.0,1.0,0.0,0.0,0.0,500.0,0.0,50000.0,False,0,41.666666666666664,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,50-55,10
proprietaire,233299.0,1.0,22170.0,2.0,2,3033.35,1400.0,Marié(e),Madame,148.52,14.0,0.0,0.0,0.0,0.0,0.0,10000.0,False,0,505.5583333333333,Marié(e),Monsieur,0.0,24.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,4,35-40,3
proprietaire,0.0,0.0,0.0,0.0,2,8000.0,0.0,Marié(e),Monsieur,131.16,1.0,0.0,0.0,0.0,0.0,0.0,70000.0,False,0,95.23809523809523,Marié(e),Madame,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,35-40,2
proprietaire,150000.0,1.0,23725.0,3.0,2,0.0,0.0,Célibataire,Monsieur,0.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,False,0,0.0,Aucun coemprunteur,Madame,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,40-45,3
proprietaire,135000.0,1.0,32000.0,3.0,0,3100.0,0.0,Célibataire,Monsieur,0.0,1.0,0.0,0.0,0.0,900.0,0.0,5000.0,False,0,36.904761904761905,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,70+,10
locataire,0.0,0.0,75000.0,3.0,0,1750.0,0.0,Célibataire,Madame,0.0,1.0,0.0,0.0,0.0,700.0,0.0,5000.0,False,0,20.833333333333332,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,3,70+,10
proprietaire,0.0,0.0,26643.0,2.0,2,1879.0,0.0,Célibataire,Monsieur,72.0,20.0,0.0,184.0,500.0,630.0,0.0,3000.0,False,0,447.38095238095235,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,45-50,10
proprietaire,0.0,0.0,21500.0,4.0,2,4310.0,0.0,Concubins,Monsieur,0.0,14.0,0.0,0.0,500.0,0.0,0.0,0.0,False,0,718.3333333333333,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,30-35,10
proprietaire,0.0,0.0,80600.0,3.0,3,2641.66,0.0,Séparé(e),Monsieur,338.8,13.0,0.0,0.0,450.0,0.0,0.0,0.0,False,0,408.8283333333333,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,30-35,10
proprietaire,159291.0,1.0,34141.0,2.0,3,1478.0,1400.0,Marié(e),Monsieur,338.8,0.0,0.0,0.0,2000.0,0.0,0.0,300.0,False,0,0.0,Marié(e),Monsieur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,45-50,3
locataire,0.0,0.0,30500.0,6.0,4,2055.0,0.0,Séparé(e),Madame,148.52,8.0,0.0,0.0,1000.0,320.0,0.0,0.0,False,0,195.7142857142857,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,300.0,0.0,CDI,2,40-45,10
